city,district,neighborhood,restaurant_type,restaurant_name,address,menu1,menu2,station,POI_1,POI_2,link
서울,종로구,공평동,카페,어반밀커피 센트로폴리스점,서울 종로구 우정국로 26 1층 (공평동),커피,플랫화이트,종각역,종로,센트로폴리스,https://naver.me/5xjc5ssR
서울,종로구,공평동,한식,스모플레이스 센트로폴리스점,서울 종로구 우정국로 26 센트로폴리스 1층 (공평동),솥밥,스테이크솥밥,종각역,종로,센트로폴리스,https://place.map.kakao.com/569854982
