city,district,neighborhood,restaurant_type,name,address,main_menu,link,
대구,북구,태전동,고기,간큰갈비 태전점,대구 북구 태전로 37 1층 (태전동),돼지갈비무한리필,https://naver.me/xM2EitlH,
대구,수성구,두산동,아시안,푸나왈라,대구 수성구 수성못2길 3 3층 (두산동),커리,https://naver.me/xkxq9ln3,
대구,달서구,진천동,일식,뜨돈 진천본점,대구 달서구 진천로9길 30 (진천동),돈까스,https://naver.me/5NdqC2iR,
대구,달성군,북리,한식,버섯골,대구 달성군 논공읍 논공로5길 125 (북리),소고기버섯샤브샤브,https://naver.me/xOCIjPMS,
대구,군위군,남산리,한식,시골밥상,대구 군위군 부계면 한티로 1903 (남산리),오리불고기,https://naver.me/5Tv3vZfE,
인천,중구,덕교동,한식,용유어보,인천 중구 용유로21번길 57 (덕교동),고등어구이,https://naver.me/Gtt9Inbr,
인천,서구,마전동,일식,홍익돈까스 검단점,인천 서구 완정로10번길 25-1 (마전동),돈까스,https://naver.me/xNdLqN6f,
인천,미추홀구,주안동,업종,백세삼계탕 인천주안점,인천 미추홀구 인주대로434번길 6 (주안동),삼계탕,https://naver.me/ID1c6iNO,
인천,미추홀구,주안동,업종,별미감자탕 주안점,인천 미추홀구 주염로 8 1층 (주안동),감자탕,https://naver.me/5eGZPJsp,
인천,동구,송림동,중식,명성각,인천 동구 샛골로161번길 36 (송림동),탕수육,https://naver.me/FCLxMazK,
인천,남동구,구월동,고기,와규몽,인천 남동구 선수촌공원로23번길 10-22 3층 (구월동),꽃삼겹살,https://naver.me/5U1Gj1Ho,
인천,부평구,삼산동,한식,배두둑마을,인천 부평구 체육관로 24 청호빌딩 (삼산동),곤드레밥정식,https://naver.me/FEJdNeJX,
인천,연수구,송도동,한식,밥상편지,인천 연수구 하모니로 124 3층 (송도동),흑마늘소갈비찜차림,https://naver.me/FXZrKKCl,
인천,계양구,용종동,일식,백소정 계양구청점,인천 계양구 오조산로89번길 9 1층 (용종동),돈카츠,https://naver.me/x8izFVHA,
인천,강화군,매음리,한식,토담마을 강화도본점,인천 강화군 삼산면 삼산남로 910 토담마을펜션 (매음리),밴댕이회무침정식,https://naver.me/xH2nwtu4,
인천,강화군,온수리,한식,원두막가든,인천 강화군 길상면 전등사로 60 (온수리),젓국갈비전골,https://naver.me/5Tv3TIQA,
인천,옹진군,선재리,카페,플로레도커피 선재점,인천 옹진군 영흥면 선재로 354 (선재리),아인슈페너,https://naver.me/xqfovjcW,
광주,광산구,신가동,일식,연어하다 광주본점,광주 광산구 수완로11번길 23 1층 (신가동),연어모듬,https://naver.me/ID1VpXK3,
대전,중구,은행동,베이커리,성심당 본점,대전 중구 대종로480번길 15 (은행동),튀김소보로,https://naver.me/FXZr5T27,
울산,울진군,후포면,한식,후포리 대게앤쿡,경북 울진군 후포면 후포로 178-3 (후포리),대게,https://naver.me/Ft8us3b6,
세종,부강면,문곡리,한식,부강옥 세종부강본점,세종 부강면 부강외천로 103 1층 (문곡리),순대,https://naver.me/Fyex2N0h,
세종,,대평동,한식,윤가네들깨수제비보쌈,세종 대평로 87 태양빌딩 2층 (대평동),별미들깨수제비,https://naver.me/GsTOBYNC,
세종,금남면,용담리,카페,가배서림,세종 금남면 안금로 241 (용담리),인절미크림가배,https://naver.me/xyUju1Uc,
경기,구리,수택동,일식,안다미로스시,경기 구리시 경춘로266번길 10 1층 (수택동),초밥,https://naver.me/5cTACOJm,
경기,구리,갈매동,고기,장우가,경기 구리시 경춘북로 252 갈매 아이파크 애비뉴 C동 2층 232호 (갈매동),돼지양념구이,https://naver.me/xVlAh4Er,
경기,광주,초월읍,한식,청보밥상,"경기,광주,초월읍,한식,청보밥상,경기 광주시 초월읍 경충대로 852 (산이리)",청국장,https://naver.me/x1gEq2Pu,
경기,양평,옥천면,고기,대디스바베큐,경기 양평군 옥천면 옥천문화마을3길 15-24 (옥천리),바비큐,https://naver.me/5HSESVlD,
경기,수원,이의동,양식,라고,경기 수원시 영통구 센트럴타운로 85 광교 아브뉴프랑 1층 중앙광장 (이의동),이탈리아 코스요리,https://naver.me/FGoehrMA,
강원,강릉,구정면,카페,테라로사 커피공장 강릉본점,강원 강릉시 구정면 현천길 7 (어단리),아메리카노,https://naver.me/GkKJK0mt,
충북,충주,금릉동,한식,숲속장수촌,충북 충주시 쇠저울1길 36 (금릉동),닭누릉지백숙,https://naver.me/xScBEWPB,
충남,천안,구룡동,베이커리,뚜쥬루 빵돌가마마을,충남 천안시 동남구 풍세로 706 (구룡동),거북이빵,https://naver.me/G1so4ORu,
전북,전주,남노소동,한식,한울밥상,전북 전주시 완산구 기린대로 104 (남노송동),떡갈비,https://naver.me/FFviHGCF,
전남,나주,중앙동,한식,나주곰탕하얀집,전남 나주시 금성관길 6-1 (중앙동),곰탕,https://naver.me/5vIczJLn,
전남,나주,금계동,한식,나주곰탕노안집,전남 나주시 금성관길 1-3 (금계동),곰탕,https://naver.me/GQ4Y1OxP,
경북,경주,사정동,한식,향화정,경북 경주시 사정로57번길 17 (사정동),꼬막비빔밥,https://naver.me/F5bFuSbJ,
경남,진주,이현동,한식,하연옥,경남 진주시 진주대로 1317-20,냉면,https://naver.me/FWJPLqi1,
제주,서귀포,색달동,일식,연돈,제주 서귀포시 색달로 10 (색달동),돈까스,https://naver.me/5DH3Hg8h,
,,,,,,,,
,,,,,,,,
